Country Name,Country Code,Indicator Name,Indicator Code,2011
Least developed countries: UN classification,LDC,GDP (current US$),NY.GDP.MKTP.CD,752055991225.16
Low income,LIC,GDP (current US$),NY.GDP.MKTP.CD,328781234808.05
Liechtenstein,LIE,GDP (current US$),NY.GDP.MKTP.CD,5739977477.48
Sri Lanka,LKA,GDP (current US$),NY.GDP.MKTP.CD,65292741296.54
Lower middle income,LMC,GDP (current US$),NY.GDP.MKTP.CD,5279429145928.53
Low & middle income,LMY,GDP (current US$),NY.GDP.MKTP.CD,24508914625396.40
Lesotho,LSO,GDP (current US$),NY.GDP.MKTP.CD,2788022889.09
Late-demographic dividend,LTE,GDP (current US$),NY.GDP.MKTP.CD,16480103851508.60
Lithuania,LTU,GDP (current US$),NY.GDP.MKTP.CD,43476873412.80
Luxembourg,LUX,GDP (current US$),NY.GDP.MKTP.CD,60004630234.41
Latvia,LVA,GDP (current US$),NY.GDP.MKTP.CD,28223552824.75
"Macao SAR, China",MAC,GDP (current US$),NY.GDP.MKTP.CD,36709860068.34
St. Martin (French part),MAF,GDP (current US$),NY.GDP.MKTP.CD,
Morocco,MAR,GDP (current US$),NY.GDP.MKTP.CD,101370474295.11
Monaco,MCO,GDP (current US$),NY.GDP.MKTP.CD,6074884388.59
Moldova,MDA,GDP (current US$),NY.GDP.MKTP.CD,7015206498.22
Madagascar,MDG,GDP (current US$),NY.GDP.MKTP.CD,9892702357.57
Maldives,MDV,GDP (current US$),NY.GDP.MKTP.CD,2774351757.78
Middle East & North Africa,MEA,GDP (current US$),NY.GDP.MKTP.CD,3282392899960.52
Mexico,MEX,GDP (current US$),NY.GDP.MKTP.CD,1171187519660.64
Marshall Islands,MHL,GDP (current US$),NY.GDP.MKTP.CD,173260300.00
Middle income,MIC,GDP (current US$),NY.GDP.MKTP.CD,24178931124382.20
"Macedonia, FYR",MKD,GDP (current US$),NY.GDP.MKTP.CD,10494632699.39
Mali,MLI,GDP (current US$),NY.GDP.MKTP.CD,12978107560.60
Malta,MLT,GDP (current US$),NY.GDP.MKTP.CD,9504797627.40
Myanmar,MMR,GDP (current US$),NY.GDP.MKTP.CD,59977326085.99
Middle East & North Africa (excluding high income),MNA,GDP (current US$),NY.GDP.MKTP.CD,1568522348029.80
Montenegro,MNE,GDP (current US$),NY.GDP.MKTP.CD,4538198498.75
Mongolia,MNG,GDP (current US$),NY.GDP.MKTP.CD,10409797649.31
Northern Mariana Islands,MNP,GDP (current US$),NY.GDP.MKTP.CD,733000000.00
Mozambique,MOZ,GDP (current US$),NY.GDP.MKTP.CD,13131168011.81
Mauritania,MRT,GDP (current US$),NY.GDP.MKTP.CD,5179690135.80
Mauritius,MUS,GDP (current US$),NY.GDP.MKTP.CD,11518393367.24
Malawi,MWI,GDP (current US$),NY.GDP.MKTP.CD,8003300198.30
Malaysia,MYS,GDP (current US$),NY.GDP.MKTP.CD,297951960784.31
North America,NAC,GDP (current US$),NY.GDP.MKTP.CD,17312124677047.80
Namibia,NAM,GDP (current US$),NY.GDP.MKTP.CD,12409629835.70
New Caledonia,NCL,GDP (current US$),NY.GDP.MKTP.CD,
Niger,NER,GDP (current US$),NY.GDP.MKTP.CD,6409169889.51
Nigeria,NGA,GDP (current US$),NY.GDP.MKTP.CD,411743801711.64
Nicaragua,NIC,GDP (current US$),NY.GDP.MKTP.CD,9774316692.16
Netherlands,NLD,GDP (current US$),NY.GDP.MKTP.CD,893757287201.69
Norway,NOR,GDP (current US$),NY.GDP.MKTP.CD,498831558925.86
Nepal,NPL,GDP (current US$),NY.GDP.MKTP.CD,18913574370.76
Nauru,NRU,GDP (current US$),NY.GDP.MKTP.CD,72751801.05
New Zealand,NZL,GDP (current US$),NY.GDP.MKTP.CD,168461998741.30
OECD members,OED,GDP (current US$),NY.GDP.MKTP.CD,47923423549077.00
Oman,OMN,GDP (current US$),NY.GDP.MKTP.CD,67937307412.22
Other small states,OSS,GDP (current US$),NY.GDP.MKTP.CD,395875134670.15
Pakistan,PAK,GDP (current US$),NY.GDP.MKTP.CD,213587413184.00
Panama,PAN,GDP (current US$),NY.GDP.MKTP.CD,34373820500.00
Peru,PER,GDP (current US$),NY.GDP.MKTP.CD,171761737046.59
Philippines,PHL,GDP (current US$),NY.GDP.MKTP.CD,224143083706.78
Palau,PLW,GDP (current US$),NY.GDP.MKTP.CD,200066900.00
Papua New Guinea,PNG,GDP (current US$),NY.GDP.MKTP.CD,17984816533.11
Poland,POL,GDP (current US$),NY.GDP.MKTP.CD,528725113045.83
Pre-demographic dividend,PRE,GDP (current US$),NY.GDP.MKTP.CD,1166443463427.92
Puerto Rico,PRI,GDP (current US$),NY.GDP.MKTP.CD,100351670000.00
